The Haven,
Cayucos,
South of Muscat,
South of Muscat,
Ras Hafun,
Kusui, Nada-Cho,
Swanee River at Branford,
Long Island,
Sanibel Island,
Valley Park,
Silva,
Valley Park,
Swanee River at Branford,
Longboat Key,
Sanibel North End on Blind Pass,
Sanibel Island,
Sanibel Island,
Beurail
60 miles SE of Pittsburgh,
N. of Stroudsburg,
Allegheny County,
Sarasota,Newburn Pits,
12 miles, East Asbury Park,
Castlecliff,
Haga Haga Hotel,
Kin Bay,
Cebu
Panglao,
Laminusa,
Olango Island,
St. Peterburg,
Sanibel Island,
Off Key West,
Sanibel,
Sanibel,
Naples,
San Diego,
San Diego,
Box Elder County
Box Elder County
Glenwood Springs
Mope
Venado Island,
Box Elder County
Box Elder County
Dakar,
San Diego
San Diego
Mission Beach, San Diego, San Diego Co.,
Baja California
Box Elder County
York Beach,
Port Bolivar,
Port Bolivar,
Port Bolivar,
Off Zamboanga
Ram Island intertidal,
Chincoteague, Accomack County
Sanibel Island,
Coron Island,
Raiatea Island,
Cuyo Island,
S.E.part of Chincoteague Island,
Jones Beach,
Jekyll Island,
Puerto Penasco
San Diego
Pacific Grove
Big Pine Key,
Inami,
Santa Barbara Island
Lee County
Mobile?
Long Island
Cancar Point,
Danlig,
Bantayan Island,
Santa Barbara Island
Okinawa,
Siasi,
south of Fredericksted,
Near Franklin
Near Franklin
Content Key,
Kapalong,
Liliope
Ulamona
Not Cited
Conception Bay,
Mouth of Pearl Harbor,
Penobscot Bay,
Penobscot Bay,
Algoa Bay,
Sunset Beach,
Barbers Point,
South shore,
Nassau County, Jones Beach Inlet
mouth of Rio Grande near La Boca,
Aden,
San Felipe
Calatagan,
off Fort Lauderdale,
West of Egmont Key
Coffee Bay,
Palm Beach,
Palm Beach,
Sanibel,
Sanibel,
Ocean near Lake Worth Inlet,
Manuelita,
Mindoro,
Millers Point,
Millers Point,
Off lower Matacumba Key,
Quonocontaug,
Mt.Mayon,
Bougainville
Okinawa,
Fernao Veloso Baia,
Mactan,
Howe Key
Lower Florida Keys
La Chorrera,
La Chorrera,
La Cherrera,
La Cherrera,
San Pedro
Guaymas,
Coffee Bay,
Jeffries Bay,
Egmont Key,
St. Croix
St. Croix
Bato Mts.,
Mope
Astoria
Blount County
Collier County
near La Boca
mouth of Rio Grande near La Boca,
Kauai,
Kauai,
Miami,
Eilat,
Marau Sound,
Marco Island,
Marco Island,
trawled off Arango Pass
Sitka,
Hofstra University Marine Laboratory,
Hofstra University Marine Laboratory,
Bucaru
Manu Manu Island,
In front of Lohama Shore Hotel,
Maui,
Shasta City
Orient State Park,
Oahu, Barber's Point,
Mactan,
creek to southwest of Ciudad de la Habana
Baia do Caciao
Rancho Luna
Rancho Luna
Rancho Luna
Manzanillo
Abra de Bejarano
(La Habana)
La Habana
La Habana
Norte de Cuba
Varadero
La Chorrera,
Carboneras,
Gibara,
Gibara,
Gibara,
Cardenas,
Havana,
Pilon,
Pilon,
Playa Baracoa,
Porto Padre,
Porto Padre,
Porto Padre,
San Lorenzo
Matanzas
Porto Padre
Camino de Caletones
Matanzas,
Via Blanca Cuba High,
Matanzes,
Almendares,
Chorrera Sands,
Chorrera Sands,
Chorrero Sands,
Cojimar,
Santa Cruz del Norte,
Camarioca Reef area,
Carboneras,
Km.#21 via Bianca Highway,
Gibara,
Gibara,
Gibara,
Harbor,
Harbor,
Piscadera Bay,
Las Salinas,
Santa Cruz del Sur,
Sierra de Cubitas
La Sierra
Cienfuegos
Cienfuegos
Cienfuegos
Cienfuegos
Cienfuegos
Cienfuegos
Cumanayagua
Siguanea
Baracoa
Consolac¡on delNorte
Consolaci¢n delNorte
Luis Lazo
Sierra Anafe
Cerro de Cananova
Maisi,
Fort Cabanas,
Guanabo,
Guanabo,
Guanabo,
Marianas,
Marianas,
Marianas,
Marianas,
Marianas,
Playa de Santa Fe,
Playa,
Bellamar Road,
Bellamar Road,
Cemetery Road,
Palenque Mts.
Penos Altas,
Sierra del Grillo,
Cayo Mambi,
Guantanamo,
Mata, Baracoa,
1km SW La Palma, Consolaci=n del Norte,
Luis Lazo,
Hoyo de la Guataca, Luis Lazo,
Cerro de Cananova,
Sitio de la Sierra,
Pinar del Rio,
Guayasaso,
Guayasaso,
Guayasaso,
Guayaso,
Guayasso,
Mogote de Ramon Millo,
N. of Guasasa,
N.of Guasasa,
P. del Rio,
St.Vincente,
St.Vincente,
St.Vincente,
St.Vincente,
Two Hermanos,
Djibuti Area,
Cikarma Plaj,
Havana
Alturas de Almandares,
San Antonio de los Banos,
Jesusita Island,
Alcyone Seamount,
Cascara Island,
Cascara Island,
Cascara Island,
Chatham Bay,
Chatham Bay,
Chatham Bay,
Chatham Bay,
Chatham Bay,
Chatham Bay,
Chatham Bay,
Chatham Bay,
Chatham Bay,
Chatham Bay,
Chatham Bay,
Chatham Bay,
Chatham Bay,
Chatham Bay,
Chatham Bay,
Chatham Bay,
Chatham Bay,
Chatham Bay,
Chatham Bay,
Chatham Bay,
Chatham Bay,
Chatham Bay,
Chatham Bay,
Chatham Bay,
Chatham Bay,
Chatham Bay,
Chatham Bay,
Chatham Bay,
Chatham Bay,
Chatham Bay,
Chatham Bay,
Chatham Bay,
Chatham Bay,
Chatham Bay,
Dos Amigos,
E.side Manulida,
E.side Manulita Is.
Isla de Coco,
Isla Manuelita,
Isla Manuelita,
Isla Manuelita,
Isla Manuelita,
Isla Montagne,
Isla Rafael,
Isla Rafael,
Isla Rafael,
Isla Rafael,
Isla Rafael,
Isla Rafael,
Isla Rafael,
Isla Rafael,
Isla Rafael,
Isla Rafael,
Isla Rafael,
Isla Rafael,
Isla Rafael,
Isla Rafael,
Isla Rafael,
Isla Rafael,
Isla Rafael,
Isla Rafael,
Isla Rafael,
Lobster Rock,
Manta Point,
Manuelita,
Manulita,
Montonove
Pajaro, Wafer Bay,
Playa de Coco
Playa de Coco
Playa de Coco,
Playa de Coco,
Playa de Coco,
Playa de Coco,
Playa de Coco,
Playa de Coco,
Playa de Coco,
Playa de Coco,
Playa de Coco,
Playa de Coco,
Playa de Coco,
Playa de Coco,
Playa de Coco,
Playa de Coco,
Playa de Coco,
Playa de Coco,
Playa de Coco,
Playa de Coco,
Playa de Coco,
Playa de Coco,
Playa de Coco,
Playa de Coco,
Playa de Coco,
Playa de Coco,
Playa de Coco,
Playa de Coco,
Playa de Coco,
Playa de Coco,
Playa de Coco,
Playa de Coco,
Pt.Ullala,(Conico Is.)
Punta Rodriguez,
Punta Rodriguez,
Roca Sucia,
Rocca Sucia,
Sloak Fin,
Submerged Rock,
Wafer Bay,
Wafer Bay,
Wafer Bay,
Wafer Bay,
Wafer Bay,
Wafer Bay,
Wafer Bay,
Wafer Bay,
Wafer Bay,
Wafer Bay,
Wafer Bay,
Wafer Bay,
Wafer Bay,
Wafer Bay,
