 
 Cebu
 Guaymas
 Lake Surprise, Key Largo, NE end of U.S. RTE. 1 causeway across lake, 25 10' 9"N, 80 23'W
 Margarita Island
 Miami
 Padre Island, Nuecas County
 Puget Sound
 S of Halfmoon Shoal, 24 30'98 "N, 82 27' 58"W to 24 31' 11"N, 82 27' 69"W, 
 South end
 Venedo Island
 Water Island St. Thomas
 of Key Largo, Everglades National Park, E of Buttonwood Sound, Swash Keys, E shore of unnamed middle key betweeen Whaleback Key and Shell Key, bayside, 25 07' 27"N, 80 28' 77"W
 off Egmont Key
""Borrow Pit"" near Aggie Grey's,
""La Crique"",
""Roth"" #220, Southern Shores, Dare Co.,
""Scarborough"",
""The Breech"",
""The Haven"",
""The Stakes"", off Middle Florida Keys
""near Jacksonville"",
"Roth" #220, Southern Shores, Dare Co.,
"The Billboard" site, Lower Matecumbe Key, oceanside, 24 51'24 "N, 80 43' 40"W
& Espirito Santo,
& Puerto Patula,
&Ensenada,
'Upolu Island
(16 naut. miles S.of Pt.Loma,CA.)
(31'41.8'S,29'29.0E), 48 m,
(Dakar),
(El Malarrimo),
(Fr.Dauphine),
(La Habana)
(Muscat), Masqat,
(Nha Trang South China Sea),
(S.of Pt.Loma,San Diego,Ca.)
(Spanish Harbor Keys),
(St.Brendon Island),
(Tuscan Archipel.),
(Wilkes near Virtech Pt.),
(near El Salvador),
(near Maputo),
(nha Trang Harbor, South China Sea),
(southern part),
(tip of Babja)
,
.
09 48.675'N, 103 56.386'W
0ff Bombay
0ff Palm Beach,
1 Mi. off Pompano
1 Mile S. of Cano Gorda Island
1 Mile Sw Nguruwe Island
1 km east of Felden,
1 m. E. of Pevensey Bay,
1 m. N of Mariana, under SR-167 bridge,
1 m. N of Mt.Clemens, Sec 25,Macomb Twp,
1 m. N. Mariana, Chipole River,
1 m. NE of Reigate,
1 m. W Graceville,
1 m.N. of Mariana, under SR-167 bridge,
1 mi east of Scarborough,
1 mi. S. of Batangas,
1 mi. SW of Pearl Point
1 mi. W. Pruitton, Lauderdale County,
1 mile East of Cedrus Island
1 mile SW of Blair, Logan County 
1 mile from Faisi
1 mile off Pampano
1 mile off Pampano,
1 mile off Pompano,
1 mile off Santa Barbara Harbor,
1-2 miles North of The Haven,
1.1 mi. N of Safford, Dallas County,
1.1 miles below Speers Ferry,
1.5 mi N Campbellton, Jackson Co.,
1.5 miles west of Vineland,
1.9 miles W of Auburn,
1/2 mi.S. Big Marco Pass,
1/2 mile off Ft. Lauderdale
1/4 mile N. of Pidgeon Pt.Light,
1/4 mile N. of Pigeon Point Light,
1/4 mile N. of Pigeon Pt. Light,
1/4 mile N. of Pigeon Pt.Light,
1/4 mile N.of Salmon Creek Outlet,
1/4 mile east of Coyo Arcas,
10 fathoms off Lantana,
10 fathoms,
