 California
 Cebu
 Florida
 Long.84.2 - Lat.25.1
""7 Mile Beach',
""Boucan Canot"",
"George Bank"
(=Panama)
(?)
(British West Indies),
(Ceylon)
(Ceylon),
(Cylon)
(Cylon),
(Dorset?)
(Formosa),
(Kiribati),
(Madagascar),
(Morisca)
(Peale)
(Portuguese East Africa)
(basse terre),
(female) live-trapped in
(in Russian)
(male) live-trapped in
(via Cebu),
0bja,
1 km W of Sezimbra,
1 mi. East of Cedros Island
1 mi. S.of Cano Gorda Id.,
1 mi. east of Scarborough,
1 mile East
1 mile East of
1 mile East off Scarborough,
1 mile NW Ras Shangani
1 mile south Vauelin,
10 fathoms off Venado Island,
10 miles west Anping,
10 miles west of Cha Teng,
10-20 feet off Islas Perlas,
100 Islands
100 miles North of Guerro Negro
100 miles east of Capetown,
100 miles off Louisiana coast,
100 miles south east,
100 miles south of Lobos Is.,
11 46S - 59 33 W,
12 mi.SSW of Nossi Beach,
12 miles South East,
12 miles east Asbury Park,
12""9.16'S, 136""42.1'E,
120 feet off Twahiti Rahi Is.,
130 miles west of Bangkok,
140' N.Coast,
143-D-2. 26"58'N., 111"56'30W.
15 Km East of Papeck,
15 km from Znin,
15 km. from Znin,
15 km. west of Kolobrzeg,
15 m. N of Mombasa,
15 miles west of Cha Teng,
16 FMS 24  54'N 108  22'W
165 m. off Durban,
19mi W Mazatlan
2 mi. E. of Sa. de Luquillo
2 mi. East of Searborough,
2 mi. S. of Mont Rouis
2 mi. off Le Grau du Roi,
2 miles North Haga Haga,
2 miles S. of Mont Reuis,
20 mi S. of Tulear,
20 mi.from Punta Penasco,
20 miles South of Dunedin,
20 miles West of Tong Kan,
20 miles east of Pang Hu Island
20 miles west of Ann Ping,
22 feet off Doubtfull Sound,
22-47' S. - 167-14' E.,
22¦53 S;167¦14 E,
25 Km South West of Eilat,
25 Km. south of Mombasa,
3 miles East of Cedros Island
30 km West of Bydgoszcz,
30 km west of Bydgoszcz,
30 km. W. of Bydgoszcz,
30 km. W. of Bydgoszuz,
30 km. W.of Bydgoszcz
30 km. west of Bydgoszcz,
30 miles S. UoRanPi,
