Tracking Number,Lat,Lng
M90136,,
M90128,,
M59233,14.5,-14.25
M62913,-29,24
M82848,39.76,-98.5
M46363,21,57
M46364,21,57
M60200,6,48
M31904,35,20
M27404,35.68536,139.75309
M72079,39.76,-98.5
M71719,39.76,-98.5
M72553,39.76,-98.5
M51267,13,122
M70609,39.76,-98.5
M70610,39.76,-98.5
M70608,39.76,-98.5
M72078,39.76,-98.5
M70791,39.76,-98.5
M71143,39.76,-98.5
M72546,39.76,-98.5
M72554,39.76,-98.5
M20304,,
M43890,-21.5,165.5
M62465,-29,24
M90436,,
M72042,39.76,-98.5
M59152,14.5,-14.25
M72040,39.76,-98.5
M72041,39.76,-98.5
M83844,39.76,-98.5
M56051,13,122
M67363,39.76,-98.5
M82621,39.76,-98.5
M30099,,
M45720,-42,174
M57035,13,122
M15120,22,-79.5
M62826,-29,24
M90206,,
M90205,,
M61711,-29,24
M66400,39.76,-98.5
M66412,39.76,-98.5
M28945,35.68536,139.75309
M52759,13,122
M53252,13,122
M53450,13,122
M55450,13,122
M56459,13,122
M56462,13,122
M56690,13,122
M57003,13,122
M62483,-29,24
M70801,39.76,-98.5
M70802,39.76,-98.5
M71007,39.76,-98.5
M72272,39.76,-98.5
M72274,39.76,-98.5
M82070,39.76,-98.5
M82933,39.76,-98.5
M73110,39.76,-98.5
M73111,39.76,-98.5
M66417,39.76,-98.5
M66489,39.76,-98.5
M66474,39.76,-98.5
M43570,41.66121,-72.77954
M89769,,
M90851,,
M49296,9,-80
M49297,9,-80
M23607,-10,70
M66384,39.76,-98.5
M66414,39.76,-98.5
M66418,39.76,-98.5
M66476,39.76,-98.5
M52758,13,122
M55872,13,122
M59302,14.5,-14.25
M66885,39.76,-98.5
M67083,39.76,-98.5
M82660,39.76,-98.5
M32184,19.42847,-99.12766
M66477,39.76,-98.5
M71803,39.76,-98.5
M66401,39.76,-98.5
M66404,39.76,-98.5
M79507,39.76,-98.5
M79508,39.76,-98.5
M79509,39.76,-98.5
M90606,,
M66407,39.76,-98.5
M66410,39.76,-98.5
M66478,39.76,-98.5
M58489,,
M58490,,
M66386,39.76,-98.5
M66394,39.76,-98.5
M66452,39.76,-98.5
M66490,39.76,-98.5
M53867,13,122
M86942,39.76,-98.5
M87447,39.76,-98.5
M83005,39.76,-98.5
M55457,13,122
M65789,18.34829,-64.98348
M90918,,
M55539,13,122
M22311,13.47861,144.81834
M22312,13.47861,144.81834
M47287,9,-80
M47288,9,-80
M47295,9,-80
M22467,13.47861,144.81834
M71362,39.76,-98.5
M72245,39.76,-98.5
M72246,39.76,-98.5
M34192,19.42847,-99.12766
M66399,39.76,-98.5
M61891,-29,24
M31940,19.42847,-99.12766
M66266,39.76,-98.5
M66267,39.76,-98.5
M31744,-20.3,57.58333
M42695,-18.25,35
M42687,-18.25,35
M63027,,
M74783,39.76,-98.5
M27388,35.68536,139.75309
M66397,39.76,-98.5
M66402,39.76,-98.5
M66334,39.76,-98.5
M85275,49.1,1.96667
M85384,39.76,-98.5
M85594,39.76,-98.5
M55444,13,122
M55922,13,122
M55923,13,122
M45718,-42,174
M66405,39.76,-98.5
M28851,35.68536,139.75309
M59975,-8,159
M56220,13,122
M50425,-6,147
M65795,,
M66479,39.76,-98.5
M66487,39.76,-98.5
M66395,39.76,-98.5
M82934,39.76,-98.5
M41963,23,-102
M66367,39.76,-98.5
M66423,39.76,-98.5
M66492,39.76,-98.5
M30546,-20,47
M54874,13,122
M55458,13,122
M55460,13,122
M23974,-5,120
M23975,-5,120
M31796,-20.3,57.58333
M66447,39.76,-98.5
M66480,39.76,-98.5
M47724,9,-80
M56025,13,122
M43572,41.66121,-72.77954
M43573,41.66121,-72.77954
M46066,38.1408004760742,-122.559684753418
M46701,7.503,134.621
M46702,7.503,134.621
M23636,,
M33172,19.42847,-99.12766
M33173,19.42847,-99.12766
M33174,19.42847,-99.12766
M33175,19.42847,-99.12766
M33176,19.42847,-99.12766
M33177,19.42847,-99.12766
M33178,19.42847,-99.12766
M33183,19.42847,-99.12766
M33184,19.42847,-99.12766
M33185,19.42847,-99.12766
M47310,9,-80
M47311,9,-80
M64168,24,121
M64169,24,121
M64170,24,121
M64171,24,121
M64172,24,121
M64173,24,121
M64174,24,121
M64175,24,121
M70898,39.76,-98.5
M71072,39.76,-98.5
M71073,39.76,-98.5
M89882,,
M74329,39.76,-98.5
M27583,35.68536,139.75309
M43506,12.11721,-68.91964
M22861,15,-86.5
M64032,-17.6486,-149.42951
M66387,39.76,-98.5
M66411,39.76,-98.5
M66481,39.76,-98.5
M62488,-29,24
M83603,39.76,-98.5
M83604,39.76,-98.5
M31716,-20.3,57.58333
M70203,39.76,-98.5
M85626,39.76,-98.5
M61888,-29,24
M49258,9,-80
M89905,15.5,47.5
M66493,39.76,-98.5
M66494,39.76,-98.5
M82456,39.76,-98.5
M66419,39.76,-98.5
M66482,39.76,-98.5
M66483,39.76,-98.5
M22819,-23.44229,151.91492
M22820,-23.44229,151.91492
M29285,35.68536,139.75309
M34205,19.42847,-99.12766
M41839,23,-102
M56810,13,122
M70840,39.76,-98.5
M73224,39.76,-98.5
M46589,21,57
M23664,,
M62686,-29,24
M69742,39.76,-98.5
M69743,39.76,-98.5
M72221,39.76,-98.5
M72222,39.76,-98.5
M72338,39.76,-98.5
M45921,,
M45925,13,-85
M66408,39.76,-98.5
M59081,14.5,-14.25
M42900,,
M61995,-29,24
M15383,10.3117,-74.29786
M53003,13,122
M60517,-31.3096,18.357
M60518,-31.3096,18.357
M31287,7.113,171.236
M42110,6.924,158.162
M50635,-7.5,142
M66393,39.76,-98.5
M66432,39.76,-98.5
M71096,39.76,-98.5
M66416,39.76,-98.5
M66446,39.76,-98.5
M66485,39.76,-98.5
M66388,39.76,-98.5
M23257,22,79
M66391,39.76,-98.5
M66403,39.76,-98.5
M66406,39.76,-98.5
M66392,39.76,-98.5
M43965,-21.5,165.5
M66385,39.76,-98.5
M67819,39.76,-98.5
M54877,13,122
M90388,,
M28484,35.68536,139.75309
M31367,7.113,171.236
M42696,-18.25,35
M55370,13,122
M66449,39.76,-98.5
M66484,39.76,-98.5
M56355,13,122
M56730,13,122
M66599,39.76,-98.5
M66696,39.76,-98.5
M15806,22,-79.5
M15807,22,-79.5
