Tracking Number,Lat,Lng
M64826,-42,147
M64827,-42,147
M64828,-42,147
M64829,-42,147
M64830,-42,147
M64831,-42,147
M64832,-42,147
M64833,-42,147
M64834,-42,147
M64835,-42,147
M64836,-42,147
M64837,-42,147
M64838,-42,147
M64839,-42,147
M64840,-42,147
M64841,-42,147
M64842,10.98333,-1.98333
M64843,31.25044,-99.25061
M64844,15.5,101
M64845,15.5,101
M64846,15.5,101
M64847,15.5,101
M64848,15.5,101
M64849,15.5,101
M64850,15.5,101
M64851,15.5,101
M64852,15.5,101
M64853,15.5,101
M64854,15.5,101
M64855,15.5,101
M64856,15.5,101
M64857,15.5,101
M64858,15.5,101
M64859,15.5,101
M64860,15.5,101
M64861,15.5,101
M64862,15.5,101
M64863,15.5,101
M64864,15.5,101
M64865,15.5,101
M64866,15.5,101
M64867,15.5,101
M64868,15.5,101
M64869,15.5,101
M64870,15.5,101
M64871,15.5,101
M64872,15.5,101
M64873,15.5,101
M64874,15.5,101
M64875,15.5,101
M64876,15.5,101
M64877,15.5,101
M64878,15.5,101
M64879,15.5,101
M64880,15.5,101
M64881,15.5,101
M64882,15.5,101
M64883,15.5,101
M64884,15.5,101
M64885,15.5,101
M64886,15.5,101
M64887,15.5,101
M64888,15.5,101
M64889,15.5,101
M64890,15.5,101
M64891,15.5,101
M64892,15.5,101
M64893,15.5,101
M64894,15.5,101
M64895,15.5,101
M64896,15.5,101
M64897,15.5,101
M64898,15.5,101
M64899,15.5,101
M64900,15.5,101
M64901,15.5,101
M64902,15.5,101
M64903,15.5,101
M64904,15.5,101
M64905,15.5,101
M64906,15.5,101
M64907,15.5,101
M64908,15.5,101
M64909,15.5,101
M64910,15.5,101
M64911,15.5,101
M64912,15.5,101
M64913,15.5,101
M64914,15.5,101
M64915,15.5,101
M64916,15.5,101
M64917,15.5,101
M64918,15.5,101
M64919,15.5,101
M64920,15.5,101
M64921,15.5,101
M64922,15.5,101
M64923,15.5,101
M64924,15.5,101
M64925,15.5,101
M64926,15.5,101
M64927,15.5,101
M64928,15.5,101
M64929,15.5,101
M64930,15.5,101
M64931,15.5,101
M64932,15.5,101
M64933,15.5,101
M64934,15.5,101
M64935,15.5,101
M64936,15.5,101
M64937,15.5,101
M64938,15.5,101
M64939,15.5,101
M64940,15.5,101
M64941,15.5,101
M64942,15.5,101
M64943,15.5,101
M64944,15.5,101
M64945,15.5,101
M64946,15.5,101
M64947,15.5,101
M64948,15.5,101
M64949,15.5,101
M64950,15.5,101
M64951,15.5,101
M64952,15.5,101
M64953,15.5,101
M64954,15.5,101
M64955,15.5,101
M64956,15.5,101
M64957,15.5,101
M64958,15.5,101
M64959,15.5,101
M64960,15.5,101
M64961,15.5,101
M64962,15.5,101
M64963,15.5,101
M64964,15.5,101
M64965,15.5,101
M64966,15.5,101
M64967,15.5,101
M64968,15.5,101
M64969,15.5,101
M64970,15.5,101
M64971,15.5,101
M64972,15.5,101
M64973,15.5,101
M64974,15.5,101
M64975,15.5,101
M64976,15.5,101
M64977,15.5,101
M64978,15.5,101
M64979,15.5,101
M64980,15.5,101
M64981,15.5,101
M64982,15.5,101
M64983,15.5,101
M64984,15.5,101
M64985,15.5,101
M64986,15.5,101
M64987,15.5,101
M64988,15.5,101
M64989,15.5,101
M64990,15.5,101
M64991,15.5,101
M64992,15.5,101
M64993,15.5,101
M64994,15.5,101
M64995,15.5,101
M64996,15.5,101
M64997,15.5,101
M64998,15.5,101
M64999,15.5,101
M65000,15.5,101
M65001,15.5,101
M65002,15.5,101
M65003,15.5,101
M65004,15.5,101
M65005,15.5,101
M65006,15.5,101
M65007,15.5,101
M65008,15.5,101
M65009,15.5,101
M65010,15.5,101
M65011,15.5,101
M65012,15.5,101
M65013,15.5,101
M65014,15.5,101
M65015,15.5,101
M65016,15.5,101
M65017,15.5,101
M65018,15.5,101
M65019,15.5,101
M65020,15.5,101
M65021,15.5,101
M65022,15.5,101
M65023,15.5,101
M65024,15.5,101
M65025,15.5,101
M65026,15.5,101
M65027,15.5,101
M65028,15.5,101
M65029,15.5,101
M65030,15.5,101
M65031,15.5,101
M65032,15.5,101
M65033,15.5,101
M65034,15.5,101
M65035,15.5,101
M65036,15.5,101
M65037,15.5,101
M65038,15.5,101
M65039,15.5,101
M65040,15.5,101
M65041,15.5,101
M65042,15.5,101
M65043,15.5,101
M65044,15.5,101
M65045,15.5,101
M65046,15.5,101
M65047,15.5,101
M65048,15.5,101
M65049,15.5,101
M65050,15.5,101
M65051,15.5,101
M65052,15.5,101
M65053,15.5,101
M65054,15.5,101
M65055,15.5,101
M65056,15.5,101
M65057,15.5,101
M65058,15.5,101
M65059,15.5,101
M65060,15.5,101
M65061,15.5,101
M65062,15.5,101
M65063,15.5,101
M65064,15.5,101
M65065,15.5,101
M65066,15.5,101
M65067,15.5,101
M65068,15.5,101
M65069,15.5,101
M65070,15.5,101
M65071,15.5,101
M65072,15.5,101
M65073,15.5,101
M65074,15.5,101
M65075,15.5,101
M65076,15.5,101
M65077,15.5,101
M65078,15.5,101
M65079,15.5,101
M65080,15.5,101
M65081,15.5,101
M65082,15.5,101
M65083,15.5,101
M65084,15.5,101
M65085,15.5,101
M65086,15.5,101
M65087,15.5,101
M65088,15.5,101
M65089,15.5,101
M65090,15.5,101
M65091,15.5,101
M65092,15.5,101
M65093,15.5,101
M65094,15.5,101
M65095,15.5,101
M65096,15.5,101
M65097,15.5,101
M65098,15.5,101
M65099,15.5,101
M65100,15.5,101
M65101,15.5,101
M65102,15.5,101
M65103,15.5,101
M65104,15.5,101
M65105,15.5,101
M65106,15.5,101
M65107,15.5,101
M65108,15.5,101
M65109,15.5,101
M65110,15.5,101
M65111,15.5,101
M65112,15.5,101
M65113,15.5,101
M65114,15.5,101
M65115,15.5,101
M65116,15.5,101
M65117,15.5,101
M65118,15.5,101
M65119,15.5,101
M65120,15.5,101
M65121,15.5,101
M65122,15.5,101
M65123,15.5,101
M65124,15.5,101
M65125,15.5,101
M65126,15.5,101
M65127,15.5,101
M65128,15.5,101
M65129,15.5,101
M65130,15.5,101
M65131,15.5,101
M65132,15.5,101
M65133,15.5,101
M65134,15.5,101
M65135,15.5,101
M65136,15.5,101
M65137,15.5,101
M65138,15.5,101
M65139,15.5,101
M65140,15.5,101
M65141,15.5,101
M65142,15.5,101
M65143,15.5,101
M65144,15.5,101
M65145,15.5,101
M65146,15.5,101
M65147,15.5,101
M65148,15.5,101
M65149,15.5,101
M65150,15.5,101
M65151,15.5,101
M65152,15.5,101
M65153,15.5,101
M65154,15.5,101
M65155,15.5,101
M65156,15.5,101
M65157,15.5,101
M65158,15.5,101
M65159,15.5,101
M65160,15.5,101
M65161,15.5,101
M65162,15.5,101
M65163,15.5,101
M65164,15.5,101
M65165,15.5,101
M65166,15.5,101
M65167,15.5,101
M65168,15.5,101
M65169,15.5,101
M65170,15.5,101
M65171,15.5,101
M65172,15.5,101
M65173,15.5,101
M65174,15.5,101
M65175,15.5,101
M65176,15.5,101
M65177,15.5,101
M65178,15.5,101
M65179,15.5,101
M65180,15.5,101
M65181,15.5,101
M65182,15.5,101
M65183,15.5,101
M65184,15.5,101
M65185,15.5,101
M65186,15.5,101
M65187,15.5,101
M65188,15.5,101
M65189,15.5,101
M65190,15.5,101
M65191,15.5,101
M65192,15.5,101
M65193,15.5,101
M65194,15.5,101
M65195,15.5,101
M65196,15.5,101
M65197,15.5,101
M65198,15.5,101
M65199,15.5,101
M65200,15.5,101
M65201,15.5,101
M65202,15.5,101
M65203,15.5,101
M65204,15.5,101
M65205,15.5,101
M65206,15.5,101
M65207,15.5,101
M65208,15.5,101
M65209,15.5,101
M65210,15.5,101
M65211,15.5,101
M65212,15.5,101
M65213,15.5,101
M65214,15.5,101
M65215,15.5,101
M65216,15.5,101
M65217,15.5,101
M65218,15.5,101
M65219,15.5,101
M65220,15.5,101
M65221,15.5,101
M65222,25.79374,82.37726
M65223,,
M65224,13.5,-15.5
M65225,13.5,-15.5
M65226,13.5,-15.5
M65227,13.5,-15.5
M65228,,
M65229,,
M65230,15.5,101
M65231,15.5,101
M65232,44.33338,-75.99968
M65233,44.33338,-75.99968
M65234,44.33338,-75.99968
M65235,44.33338,-75.99968
M65236,36.26121,-95.56081
M65237,11.25,-60.66667
M65238,11.25,-60.66667
M65239,11.25,-60.66667
M65240,11.25,-60.66667
M65241,11.25,-60.66667
M65242,11.25,-60.66667
M65243,11.25,-60.66667
M65244,11.25,-60.66667
M65245,11.25,-60.66667
M65246,11.25,-60.66667
M65247,11.25,-60.66667
M65248,11.25,-60.66667
M65249,11.25,-60.66667
M65250,11.25,-60.66667
M65251,11.25,-60.66667
M65252,11.25,-60.66667
M65253,11.25,-60.66667
M65254,11.25,-60.66667
M65255,11.25,-60.66667
M65256,11.25,-60.66667
M65257,11.25,-60.66667
M65258,11.25,-60.66667
M65259,11.25,-60.66667
M65260,11.25,-60.66667
M65261,11.25,-60.66667
M65262,11.25,-60.66667
M65263,11.25,-60.66667
M65264,11.25,-60.66667
M65265,11.25,-60.66667
M65266,11.25,-60.66667
M65267,11.25,-60.66667
M65268,11.25,-60.66667
M65269,11.25,-60.66667
M65270,11.25,-60.66667
M65271,11.25,-60.66667
M65272,11.25,-60.66667
M65273,11.25,-60.66667
M65274,11.25,-60.66667
M65275,11.25,-60.66667
M65276,11.25,-60.66667
M65277,11.25,-60.66667
M65278,,
M65279,,
M65280,12.63381,-61.35731
M65281,11,-61
M65282,11,-61
M65283,11,-61
