EMu Catalog IRN,CatPrefix,CatNumber,CatSuffix,BioParticipantString,BioDateVisitedFrom,BioDateVisitedTo,ClaOrder,ClaFamily,ClaGenus,ClaSpecies,ClaSubspecies,EMU Localities IRN,AquBottomDepthFromMet,AquBottomDepthToMet,AquDepthFromMet,AquDepthToMet,AquDistanceFromShoreMet,AquDistanceFromShoreToMet,DraDrainage,DraDrainageSeaGulf,DraPrimaryTributary,DraQuaternaryTributary,DraRiverBasin,DraSecondaryTributary,DraTertiaryTributary,LatDeriveCentroid_tab,LatPreferred_tab,LocArchipelago,LocBaySound,LocContinent,LocContinentalShelfRegion,LocCountry,LocDistrictCountyShire,LocIslandGrouping,LocIslandName,LocNearestNamedPlace,LocNoFurtherLocalityData,LocOcean,LocPreciseLocation,LocProvinceStateTerritory,LocSeaGulf,LocSiteName_tab,LocTownship,TerElevationFromMet,TerElevationToMet,TerVerbatimElevation,LatPreferredCentroidLatDec,LatPreferredCentroidLongDec
3574194,R,12578,,,,,Squamata,Hydrophiidae,Disteira,stokesii,,3056400,,,,,,,,,,,,,,,,,,Asia,,Singapore,,,,,,,,,,,,,,,,
3470817,R,90432,,Jerry A. Anderson,1963-01-18,1963-01-18,Squamata,Hydrophiidae,Hydrophis,gracilis,,3046695,,,,,,,,,,,,,,,,,,Asia,,Pakistan,,,,,,,"Kalmat Bay, nr Ormara",Las Bela,,,,,,,,
3629422,R,87491,,Hasham Jogi,1961-07-,1961-07-,Squamata,Hydrophiidae,Praescutata,viperina,,3064592,,,,,,,,,,,,,,,,,,Asia,,Pakistan,,,,,,,"Kuba Bunder, nr mouth of Indus River",Tatta,,,,,,,,
3420178,R,66603,,E. P. Brunese Jr.,,,Squamata,Hydrophiidae,Praescutata,viperina,,3038948,,,,,,,,,,,,,,,,,,Asia,,Saudi Arabia,,,,,,,Persian Gulf,,,,,,,,,
3603103,R,81855,,,1958-12-31,1958-12-31,Squamata,Hydrophiidae,Disteira,schistosa,,3060195,,,,,,,,,,,,,,,,,,Asia,,Pakistan,,,,,,,Coastal waters nr Karachi,Islamabad,,,,,,,,
3578139,R,14171,,Malcolm A. Smith M.D.,,,Squamata,Hydrophiidae,Hydrophis,caerulescens,,3056788,,,,,,,,,,,,,,,,,,Asia,,,,,,,,,,,Gulf of Siam,,,,,,,
3420186,R,66605,,E. P. Brunese Jr.,,,Squamata,Hydrophiidae,Pelamis,platurus,,3038948,,,,,,,,,,,,,,,,,,Asia,,Saudi Arabia,,,,,,,Persian Gulf,,,,,,,,,
3356875,R,119855,,,,,Squamata,Hydrophiidae,Laticauda,colubrina,,3029063,,,,,,,,,,,,,,,,,,South Pacific,,Fiji Islands,,,,,,Pacific Ocean,presumably from vic Suva,,,,,,,,,
3603809,R,81880,,,,,Squamata,Hydrophiidae,Laticauda,colubrina,,3027248,,,,,,,,,,,,,,,,,,No Data,,No Data,,,,,,,,,,,,,,,,
3566457,R,29006,,Rollo H. Beck,1927-08-21,1927-08-21,Squamata,Hydrophiidae,Laticauda,laticaudata,,3056053,,,,,,,,,,,,,,,,,,South Pacific,,Fiji Islands,,,Polynesia,,,,Thikombia,,,,,,,,,
3566447,R,29001,,Rollo H. Beck,,,Squamata,Hydrophiidae,Laticauda,colubrina,,3056050,,,,,,,,,,,,,,,,,,South Pacific,,Fiji Islands,,,Polynesia,,,,Vanua Masi,,,,,,,,,
3566455,R,29005,,Rollo H. Beck,,,Squamata,Hydrophiidae,Laticauda,colubrina,,3056052,,,,,,,,,,,,,,,,,,South Pacific,,Fiji Islands,,,Polynesia,,,,Komo,,,,,,,,,
3566451,R,29003,,Rollo H. Beck,,,Squamata,Hydrophiidae,Laticauda,colubrina,,3056049,,,,,,,,,,,,,,,,,,South Pacific,,Fiji Islands,,,Polynesia,,,,Aiva,,,,,,,,,
3566441,R,28998,,Rollo H. Beck,,,Squamata,Hydrophiidae,Laticauda,colubrina,,3056049,,,,,,,,,,,,,,,,,,South Pacific,,Fiji Islands,,,Polynesia,,,,Aiva,,,,,,,,,
3578137,R,14170,,Malcolm A. Smith M.D.,,,Squamata,Hydrophiidae,Hydrophis,caerulescens,,3056788,,,,,,,,,,,,,,,,,,Asia,,,,,,,,,,,Gulf of Siam,,,,,,,
3566453,R,29004,,Rollo H. Beck,,,Squamata,Hydrophiidae,Laticauda,colubrina,,3056049,,,,,,,,,,,,,,,,,,South Pacific,,Fiji Islands,,,Polynesia,,,,Aiva,,,,,,,,,
3540829,R,38108,,,,,Squamata,Hydrophiidae,Laticauda,colubrina,,3027248,,,,,,,,,,,,,,,,,,No Data,,No Data,,,,,,,,,,,,,,,,
3540831,R,38109,,,,,Squamata,Hydrophiidae,Laticauda,colubrina,,3027248,,,,,,,,,,,,,,,,,,No Data,,No Data,,,,,,,,,,,,,,,,
3540835,R,38111,,,,,Squamata,Hydrophiidae,Laticauda,colubrina,,3027248,,,,,,,,,,,,,,,,,,No Data,,No Data,,,,,,,,,,,,,,,,
3628287,R,86929,,James Carey,1961-01-25,1961-01-25,Squamata,Hydrophiidae,Hydrophis,torquatus,diadema,3064295,,,,,,,,,,,,,,,,,,Asia,,Thailand,,,,,,,Bangkok,,,,,,,,,
3515503,R,94506,,V. Atukorale,1964,1964,Squamata,Hydrophiidae,Pelamis,platurus,,3051290,,,,,,,,,,,,,,,,,,Asia,,Sri Lanka,,,,,,,Colombo,Western,,,,,,,,
5163726,R,160149,,,,,Squamata,Hydrophiidae,Laticauda,semifasciata,,5011526,,,,,,,,,,,,,,,,,,No data,,No Data,,,,,,,,,,,,,,,,
3356861,R,119848,,,,,Squamata,Hydrophiidae,Laticauda,colubrina,,3029063,,,,,,,,,,,,,,,,,,South Pacific,,Fiji Islands,,,,,,Pacific Ocean,presumably from vic Suva,,,,,,,,,
