EMu Catalog IRN,CatPrefix,CatNumber,CatSuffix,BioParticipantString,BioDateVisitedFrom,BioDateVisitedTo,etaxonomy_key,Etaxonom_H_&_M.irn,ClaOrder,ClaFamily,ClaGenus,ClaSpecies,ClaSubspecies,Etaxonom_H_&_M.SecRecordStatus,SecDepartment_tab,ecollectionevents_key,EMu Localities IRN,AquBottomDepthFromMet,AquBottomDepthToMet,AquDepthFromMet,AquDepthToMet,AquDistanceFromShoreMet,AquDistanceFromShoreToMet,DraDrainage,DraDrainageSeaGulf,DraPrimaryTributary,DraQuaternaryTributary,DraRiverBasin,DraSecondaryTributary,DraTertiaryTributary,LatDeriveCentroid_tab,LatPreferred_tab,LocArchipelago,LocBaySound,LocContinent,LocContinentalShelfRegion,LocCountry,LocDistrictCountyShire,LocIslandGrouping,LocIslandName,LocNearestNamedPlace,LocNoFurtherLocalityData,LocOcean,LocPreciseLocation,LocProvinceStateTerritory,LocSeaGulf,LocSiteName_tab,LocTownship,TerElevationFromMet,TerElevationToMet,TerVerbatimElevation,LatPreferredCentroidLatDec,LatPreferredCentroidLongDec,SecDepartment,Ecollect - VZ.SecRecordStatus
35621,M,13103,,,1895-10-01,,124,10488,Carnivora,Odobenidae,Odobenus,rosmarus,rosmarus,Active,Mammalogy,10151,1107,,,,,,,,,,,,,,,,,,North America,,Greenland,,,,,Yes,North Atlantic,,West Greenland Province,,,,,,,,,Mammalogy,Active
35625,M,13104,,,1895-10-01,,124,10488,Carnivora,Odobenidae,Odobenus,rosmarus,rosmarus,Active,Mammalogy,10151,1107,,,,,,,,,,,,,,,,,,North America,,Greenland,,,,,Yes,North Atlantic,,West Greenland Province,,,,,,,,,Mammalogy,Active
35629,M,13105,,,1895-10-01,,124,10488,Carnivora,Odobenidae,Odobenus,rosmarus,rosmarus,Active,Mammalogy,10151,1107,,,,,,,,,,,,,,,,,,North America,,Greenland,,,,,Yes,North Atlantic,,West Greenland Province,,,,,,,,,Mammalogy,Active
35633,M,13106,,,1895-10-01,,124,10488,Carnivora,Odobenidae,Odobenus,rosmarus,rosmarus,Active,Mammalogy,10151,1107,,,,,,,,,,,,,,,,,,North America,,Greenland,,,,,Yes,North Atlantic,,West Greenland Province,,,,,,,,,Mammalogy,Active
35637,M,13107,,,1895-10-01,,124,10488,Carnivora,Odobenidae,Odobenus,rosmarus,rosmarus,Active,Mammalogy,10151,1107,,,,,,,,,,,,,,,,,,North America,,Greenland,,,,,Yes,North Atlantic,,West Greenland Province,,,,,,,,,Mammalogy,Active
35641,M,13108,,,1895-10-01,,124,10488,Carnivora,Odobenidae,Odobenus,rosmarus,rosmarus,Active,Mammalogy,10151,1107,,,,,,,,,,,,,,,,,,North America,,Greenland,,,,,Yes,North Atlantic,,West Greenland Province,,,,,,,,,Mammalogy,Active
35645,M,13109,,,1895-10-01,,125,9122,Carnivora,Phocidae,Phoca,hispida,hispida,Active,Mammalogy,10151,1107,,,,,,,,,,,,,,,,,,North America,,Greenland,,,,,Yes,North Atlantic,,West Greenland Province,,,,,,,,,Mammalogy,Active
35649,M,13110,,,1895-10-01,,125,9122,Carnivora,Phocidae,Phoca,hispida,hispida,Active,Mammalogy,10151,1107,,,,,,,,,,,,,,,,,,North America,,Greenland,,,,,Yes,North Atlantic,,West Greenland Province,,,,,,,,,Mammalogy,Active
35653,M,13111,,,1895-10-01,,118,6808,Carnivora,Phocidae,Phoca,groenlandica,,Active,Mammalogy,10151,1107,,,,,,,,,,,,,,,,,,North America,,Greenland,,,,,Yes,North Atlantic,,West Greenland Province,,,,,,,,,Mammalogy,Active
35657,M,13112,,,1895-10-01,,118,6808,Carnivora,Phocidae,Phoca,groenlandica,,Active,Mammalogy,10151,1107,,,,,,,,,,,,,,,,,,North America,,Greenland,,,,,Yes,North Atlantic,,West Greenland Province,,,,,,,,,Mammalogy,Active
36911,M,13560,,L. L. Dyche,1895-08-01,,125,9122,Carnivora,Phocidae,Phoca,hispida,hispida,Active,Mammalogy,10151,1107,,,,,,,,,,,,,,,,,,North America,,Greenland,,,,,Yes,North Atlantic,,West Greenland Province,,,,,,,,,Mammalogy,Active
37912,M,13907,,A. W. Anthony,1897-03-26,,144,9117,Carnivora,Otariidae,Zalophus,californianus,californianus,Active,Mammalogy,125767,1220,,,,,,,,,,,,,,,,,,West Indies,,Guadeloupe,,Lesser Antilles,Guadeloupe,,Yes,,,,Caribbean Sea,,,,,,,,Mammalogy,Active
37915,M,13908,,A. W. Anthony,1897-03-26,,144,9117,Carnivora,Otariidae,Zalophus,californianus,californianus,Active,Mammalogy,125767,1220,,,,,,,,,,,,,,,,,,West Indies,,Guadeloupe,,Lesser Antilles,Guadeloupe,,Yes,,,,Caribbean Sea,,,,,,,,Mammalogy,Active
37998,M,13935,,L. L. Dyche,1895-10-01,,85,5489,Carnivora,Phocidae,Halichoerus,grypus,,Active,Mammalogy,35064,59,,,,,,,,,,,,,,,,,,North America,,Greenland,,,,,Yes,North Atlantic,,,,,,,,,,,Mammalogy,Active
38001,M,13936,,L. L. Dyche,,,118,6808,Carnivora,Phocidae,Phoca,groenlandica,,Active,Mammalogy,35064,59,,,,,,,,,,,,,,,,,,North America,,Greenland,,,,,Yes,North Atlantic,,,,,,,,,,,Mammalogy,Active
38004,M,13937,,L. L. Dyche,,,118,6808,Carnivora,Phocidae,Phoca,groenlandica,,Active,Mammalogy,35064,59,,,,,,,,,,,,,,,,,,North America,,Greenland,,,,,Yes,North Atlantic,,,,,,,,,,,Mammalogy,Active
38007,M,13938,,L. L. Dyche,,,118,6808,Carnivora,Phocidae,Phoca,groenlandica,,Active,Mammalogy,35064,59,,,,,,,,,,,,,,,,,,North America,,Greenland,,,,,Yes,North Atlantic,,,,,,,,,,,Mammalogy,Active
38093,M,13967,,L. L. Dyche,1895-10-01,,125,9122,Carnivora,Phocidae,Phoca,hispida,hispida,Active,Mammalogy,35064,59,,,,,,,,,,,,,,,,,,North America,,Greenland,,,,,Yes,North Atlantic,,,,,,,,,,,Mammalogy,Active
38096,M,13968,,,1896-10-20,,238,10672,Carnivora,Phocidae,Phoca,vitulina,,Active,Mammalogy,96862,7,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Mammalogy,Active
38099,M,13969,,,1896-01-07,,238,10672,Carnivora,Phocidae,Phoca,vitulina,,Active,Mammalogy,96862,7,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Mammalogy,Active
38102,M,13970,,,1897-05-04,,82,6812,Carnivora,Phocidae,Phoca,vitulina,,Active,Mammalogy,96862,7,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Mammalogy,Active
38104,M,13971,,,1897-07-14,,128,6165,Carnivora,Phocidae,Monachus,tropicalis,,Active,Mammalogy,96862,7,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Mammalogy,Active
38113,M,13975,,,,,210,10674,Carnivora,Phocidae,Phoca,hispida,beaufortiana,Active,Mammalogy,60062,56,,,,,,,,,,,,,,,,,,North America,,USA,,,,,Yes,,,Alaska,,,,,,,,,Mammalogy,Active
38115,M,13976,,,,,210,10674,Carnivora,Phocidae,Phoca,hispida,beaufortiana,Active,Mammalogy,60062,56,,,,,,,,,,,,,,,,,,North America,,USA,,,,,Yes,,,Alaska,,,,,,,,,Mammalogy,Active
38117,M,13977,,,,,210,10674,Carnivora,Phocidae,Phoca,hispida,beaufortiana,Active,Mammalogy,60062,56,,,,,,,,,,,,,,,,,,North America,,USA,,,,,Yes,,,Alaska,,,,,,,,,Mammalogy,Active
38119,M,13978,,,,,210,10674,Carnivora,Phocidae,Phoca,hispida,beaufortiana,Active,Mammalogy,60062,56,,,,,,,,,,,,,,,,,,North America,,USA,,,,,Yes,,,Alaska,,,,,,,,,Mammalogy,Active
38121,M,13979,,,,,210,10674,Carnivora,Phocidae,Phoca,hispida,beaufortiana,Active,Mammalogy,60062,56,,,,,,,,,,,,,,,,,,North America,,USA,,,,,Yes,,,Alaska,,,,,,,,,Mammalogy,Active
38136,M,13986,,C. Eickemeyer,1893-01-01,,153,10676,Cetacea,Balaenidae,Balaena,sp.,,Active,Mammalogy,130929,94,,,,,,,,,,,,,,,,,,North America,,Arctic Ocean,,,,,Yes,,,,,,,,,,,,Mammalogy,Active
