row,content_date
14,20-dic-93
19,27-ago-97
20,27-ago-97
21,27-ago-97
22,27-ago-97
23,27-ago-97
26,ago-01
27,ago-01
36,30-dic-86
37,15-dic-86
38,27-ago-97
49,26-abr-05
50,26-abr-05
51,26-abr-05
52,26-abr-05
53,26-abr-05
54,26-abr-05
55,26-abr-05
56,26-abr-05
57,26-abr-05
58,26-abr-05
59,26-abr-05
60,26-abr-05
61,26-abr-05
62,26-abr-05
67,23-abr-99
69,13-ago-96
70,13-ago-96
73,24-abr-16
87,23-abr-99
88,27-ago-97
108,23-abr-99
109,30-dic-87
124,15-dic-89
130,27-ago-97
131,27-ago-97
132,27-ago-97
133,27-ago-97
134,27-ago-97
135,27-ago-97
136,23-abr-99
137,23-abr-99
138,23-abr-99
139,23-abr-99
140,23-abr-99
141,23-abr-99
142,23-abr-99
143,23-abr-99
150,dic-85
151,11-ago-89
154,15-dic-89
157,17-abr-97
158,17-abr-97
164,03-dic-93
165,03-dic-93
180,30-dic-86
181,30-dic-86
182,30-dic-86
184,20-dic-91
186,10-dic-93
268,10-dic-90
275,18-ene-29
276,23-abr-99
277,23-abr-99
287,23-abr-99
288,23-abr-99
289,23-abr-99
290,23-abr-99
298,22-dic-89
299,31-ago-00
300,31-ago-00
301,31-ago-00
302,31-ago-00
303,31-ago-00
306,"Nov. 1925, Aug. 1928"
346,23-abr-99
426,20-dic-93
427,20-dic-93
428,20-dic-93
429,20-dic-93
430,20-dic-93
431,20-dic-93
432,20-dic-93
433,20-dic-93
434,20-dic-93
435,20-dic-93
436,20-dic-93
437,20-dic-93
438,20-dic-93
439,20-dic-93
440,20-dic-93
441,20-dic-93
442,20-dic-93
443,20-dic-93
444,20-dic-93
445,20-dic-93
446,20-dic-93
447,20-dic-93
448,20-dic-93
449,20-dic-93
450,20-dic-93
451,20-dic-93
452,20-dic-93
453,20-dic-93
454,20-dic-93
455,20-dic-93
508,25-ene-89
510,20-abr-89
511,20-abr-89
512,20-abr-89
516,12-abr-90
518,22-dic-89
519,15-dic-89
520,15-dic-89
521,15-dic-89
522,15-dic-89
550,"December l5, l989"
551,"December l5, l989"
552,"December l5, l989"
553,"December l5, l989"
554,"December l5, l989"
555,"December l5, l989"
556,"December l5, l989"
573,15-dic-89
574,15-dic-89
585,22-dic-89
586,15-dic-89
587,15-dic-89
590,"December 30, l987"
612,20-dic-91
613,15-dic-89
616,15-dic-89
687,30-dic-87
694,30-dic-87
695,30-dic-87
696,10-dic-93
697,10-dic-93
698,10-dic-93
699,10-dic-93
700,10-dic-93
701,10-dic-93
702,30-dic-87
703,30-dic-87
704,30-dic-87
705,30-dic-87
769,20-dic-93
783,10-dic-93
807,27-ago-97
820,15-dic-86
824,20-dic-91
837,15-dic-89
868,13-abr-00
869,13-abr-00
871,ene-03
872,ene-03
873,ene-03
874,ene-03
875,ene-03
876,ene-03
877,ene-03
878,ene-03
879,ene-03
880,ene-03
881,ene-03
882,ene-03
883,ene-03
884,ene-03
885,ene-03
893,30-dic-86
894,30-dic-86
895,30-dic-86
896,30-dic-86
905,12-ene-90
906,12-ene-90
907,11-ago-89
909,22-dic-89
910,22-dic-89
913,20-dic-91
914,20-dic-91
915,20-dic-91
960,30-dic-87
961,30-dic-87
1005,23-abr-99
1022,15-dic-89
1026,10-dic-93
1050,23-abr-99
1051,18-ene-29
1060,23-abr-99
1065,18-ene-29
1077,18-ene-29
1090,18-ene-29
1091,10-abr-18
1145,ago-74
1204,15-ago-89
1205,15-ago-89
1213,25-ene-89
1217,04-ago-84
1218,04-ago-84
1226,30-dic-87
1229,27-ago-97
1230,27-ago-97
1231,27-ago-97
1232,27-ago-97
1233,27-ago-97
1234,27-ago-97
1235,27-ago-97
1236,27-ago-97
1237,27-ago-97
1238,27-ago-97
1239,27-ago-97
1240,27-ago-97
1241,27-ago-97
1242,27-ago-97
1243,27-ago-97
1244,27-ago-97
1245,27-ago-97
1246,27-ago-97
1247,27-ago-77
1248,27-ago-97
1249,27-ago-97
1250,27-ago-97
1251,27-ago-97
1252,27-ago-97
1253,27-ago-97
1254,27-ago-97
1255,27-ago-97
1256,27-ago-97
1257,27-ago-97
1258,27-ago-97
1259,27-ago-97
1260,27-ago-97
1261,27-ago-97
1262,27-ago-97
1263,27-ago-97
1264,27-ago-97
1265,27-ago-97
1266,27-ago-97
1267,27-ago-97
1268,27-ago-97
1269,27-ago-97
1270,27-ago-97
1271,06-ago-98
1275,27-ago-97
1276,27-ago-97
1277,27-ago-97
1279,27-ago-97
1295,27-ago-97
1296,27-ago-97
1297,27-ago-97
1298,27-ago-97
1299,27-ago-97
1300,27-ago-97
1305,27-ago-97
1309,27-ago-97
1310,27-ago-97
1318,27-ago-97
1319,27-ago-97
1320,27-ago-97
1321,27-ago-97
1323,27-ago-97
1333,27-ago-97
1334,27-ago-97
1335,27-ago-97
1336,27-ago-97
1350,23-abr-99
1357,18-abr-98
1362,23-abr-99
1368,23-abr-99
1376,23-abr-99
1380,23-abr-99
1381,23-abr-99
1382,23-abr-99
1393,23-abr-99
1414,23-abr-99
1415,23-abr-99
1756,26-ago-94
1757,26-ago-94
3023,20-dic-93
3123,20-dic-93
3148,20-dic-93
3149,20-dic-02
3157,20-dic-93
3158,20-dic-93
3166,20-dic-93
3170,20-dic-93
3184,20-dic-02
3200,20-dic-93
3222,20-dic-02
3269,20-dic-93
3278,20-dic-02
3293,20-dic-93
3306,20-dic-93
3338,20-dic-93
3377,20-dic-02
3378,20-dic-93
3379,20-dic-02
3407,20-dic-93
3497,20-dic-02
3499,20-dic-02
3505,20-dic-02
3507,20-dic-93
3508,20-dic-93
3511,20-dic-93
3513,20-dic-02
3518,20-dic-02
3527,20-dic-93
3557,20-dic-93
3561,20-dic-02
3564,20-dic-02
3600,20-dic-02
3606,20-dic-93
3607,20-dic-93
3608,20-dic-02
3673,20-dic-93
3686,20-dic-93
3687,20-dic-93
3688,20-dic-93
3689,20-dic-93
3726,20-dic-93
3731,20-dic-93
