PrepIRN	CatPrefix	CatNumber	CatSuffix	BioDateVisitedFrom	BioDateVisitedTo	ExpExpeditionName	BioParticipantString	ClaOrder	ClaFamily	ClaGenus	ClaSpecies	ClaSubspecies	LocContinent	LocCountry	LocDistrictCountyShire	LocIslandGrouping	LocIslandName	LocOcean	LocPreciseLocation	LocProvinceStateTerritory	LocSeaGulf	LocTownship	TerElevationFromMet	TerElevationToMet	TerVerbatimElevation	LatPreferredCentroidLatDec	LatPreferredCentroidLongDec
6509574	EN	5842		Feb 1935			James P. Chapin	Tinamiformes	Tinamidae	Nothoprocta	perdicaria	perdicaria							Easter Island, South Pacific								
6507986	EN	5048		18 Aug 1925		Whitney South Sea Expedition		Galliformes	Megapodiidae	Megapodius	pritchardii								Niaufou Island Tonga Group, Pacific								
6507988	EN	5049		18 Aug 1925		Whitney South Sea Expedition	R.H. Beck	Galliformes	Megapodiidae	Megapodius	pritchardii								Niaufou Island Tonga Group, Pacific								
6507990	EN	5050		18 Aug 1925		Whitney South Sea Expedition	Mrs. J.G. Correia	Galliformes	Megapodiidae	Megapodius	pritchardii								Niaufou Island Tonga Group, Pacific								
6507992	EN	5051		18 Aug 1925		Whitney South Sea Expedition	R.H. Beck	Galliformes	Megapodiidae	Megapodius	pritchardii								Niaufou Island Tonga Group, Pacific								
6047654	SKIN	216561		14 Mar 1927		Whitney South Sea Expedition	R. H. Beck & Ass'ts	Galliformes	Megapodiidae	Megapodius	eremita		Oceania	Solomon Islands			Owa Raha (Santa Ana)	South Pacific		Makira-Ulawa Province						-10.835247	162.452237
6047678	SKIN	216575		04 Jun 1927		Whitney South Sea Expedition	R. H. Beck & Ass'ts	Galliformes	Megapodiidae	Megapodius	eremita		Oceania	Solomon Islands			Savo Island	South Pacific		Central Province						-9.130867	159.812488
6047676	SKIN	216574		04 Jun 1927		Whitney South Sea Expedition	R. H. Beck & Ass'ts	Galliformes	Megapodiidae	Megapodius	eremita		Oceania	Solomon Islands			Savo Island	South Pacific		Central Province						-9.130867	159.812488
6047674	SKIN	216573		04 Jun 1927		Whitney South Sea Expedition	R. H. Beck & Ass'ts	Galliformes	Megapodiidae	Megapodius	eremita		Oceania	Solomon Islands			Savo Island	South Pacific		Central Province						-9.130867	159.812488
6047672	SKIN	216572		04 Jun 1927		Whitney South Sea Expedition	R. H. Beck & Ass'ts	Galliformes	Megapodiidae	Megapodius	eremita		Oceania	Solomon Islands			Savo Island	South Pacific		Central Province						-9.130867	159.812488
